[11/10/2016 11:48:07]  Starting Greedy Search
[11/10/2016 11:48:07]  Child Node :: Cost - 26	 Move - r	 PlayerPos - (2, 3) :: Redundant
[11/10/2016 11:48:07]  Dequeued :: Cost - 25	 Move - r	 PlayerPos - (3, 5) :: Exploring
[11/10/2016 11:48:07]  Child Node :: Cost - 26	 Move - u	 PlayerPos - (3, 4) :: Added to Fringe
[11/10/2016 11:48:07]  Child Node :: Cost - 26	 Move - r	 PlayerPos - (4, 5) :: Added to Fringe
[11/10/2016 11:48:07]  Child Node :: Cost - 26	 Move - d	 PlayerPos - (3, 6) :: Added to Fringe
[11/10/2016 11:48:07]  Child Node :: Cost - 26	 Move - l	 PlayerPos - (2, 5) :: Redundant
[11/10/2016 11:48:07]  Dequeued :: Cost - 24	 Move - r	 PlayerPos - (3, 4) :: Exploring
[11/10/2016 11:48:07]  Child Node :: Cost - 25	 Move - r	 PlayerPos - (4, 4) :: Added to Fringe
[11/10/2016 11:48:07]  Child Node :: Cost - 25	 Move - d	 PlayerPos - (3, 5) :: Redundant
[11/10/2016 11:48:07]  Child Node :: Cost - 25	 Move - l	 PlayerPos - (2, 4) :: Redundant
[11/10/2016 11:48:07]  Dequeued :: Cost - 25	 Move - r	 PlayerPos - (4, 4) :: Exploring
[11/10/2016 11:48:07]  Child Node :: Cost - 26	 Move - u	 PlayerPos - (4, 3) :: Added to Fringe
[11/10/2016 11:48:07]  Child Node :: Cost - 26	 Move - r	 PlayerPos - (5, 4) :: Added to Fringe
[11/10/2016 11:48:07]  Child Node :: Cost - 26	 Move - d	 PlayerPos - (4, 5) :: Added to Fringe
[11/10/2016 11:48:07]  Child Node :: Cost - 26	 Move - l	 PlayerPos - (3, 4) :: Redundant
[11/10/2016 11:48:07]  Dequeued :: Cost - 26	 Move - u	 PlayerPos - (4, 3) :: Exploring
[11/10/2016 11:48:07]  Child Node :: Cost - 27	 Move - u	 PlayerPos - (4, 2) :: Added to Fringe
[11/10/2016 11:48:07]  Child Node :: Cost - 27	 Move - r	 PlayerPos - (5, 3) :: Added to Fringe
[11/10/2016 11:48:07]  Child Node :: Cost - 27	 Move - d	 PlayerPos - (4, 4) :: Added to Fringe
[11/10/2016 11:48:07]  Dequeued :: Cost - 26	 Move - r	 PlayerPos - (5, 4) :: Exploring
[11/10/2016 11:48:07]  Child Node :: Cost - 27	 Move - u	 PlayerPos - (5, 3) :: Added to Fringe
[11/10/2016 11:48:07]  Child Node :: Cost - 27	 Move - d	 PlayerPos - (5, 5) :: Added to Fringe
[11/10/2016 11:48:07]  Child Node :: Cost - 27	 Move - l	 PlayerPos - (4, 4) :: Redundant
[11/10/2016 11:48:07]  Dequeued :: Cost - 27	 Move - u	 PlayerPos - (5, 3) :: Exploring
[11/10/2016 11:48:07]  Child Node :: Cost - 28	 Move - u	 PlayerPos - (5, 2) :: Added to Fringe
[11/10/2016 11:48:07]  Child Node :: Cost - 28	 Move - d	 PlayerPos - (5, 4) :: Redundant
[11/10/2016 11:48:07]  Dequeued :: Cost - 26	 Move - r	 PlayerPos - (4, 5) :: Exploring
[11/10/2016 11:48:07]  Child Node :: Cost - 27	 Move - u	 PlayerPos - (4, 4) :: Redundant
[11/10/2016 11:48:07]  Child Node :: Cost - 27	 Move - r	 PlayerPos - (5, 5) :: Added to Fringe
[11/10/2016 11:48:07]  Child Node :: Cost - 27	 Move - d	 PlayerPos - (4, 6) :: Added to Fringe
[11/10/2016 11:48:07]  Child Node :: Cost - 27	 Move - l	 PlayerPos - (3, 5) :: Redundant
[11/10/2016 11:48:07]  Dequeued :: Cost - 28	 Move - u	 PlayerPos - (5, 2) :: Exploring
[11/10/2016 11:48:07]  Child Node :: Cost - 29	 Move - u	 PlayerPos - (5, 1) :: Added to Fringe
[11/10/2016 11:48:07]  Child Node :: Cost - 29	 Move - d	 PlayerPos - (5, 3) :: Redundant
[11/10/2016 11:48:07]  Child Node :: Cost - 29	 Move - l	 PlayerPos - (4, 2) :: Added to Fringe
[11/10/2016 11:48:07]  Dequeued :: Cost - 29	 Move - l	 PlayerPos - (4, 2) :: Exploring
[11/10/2016 11:48:07]  Child Node :: Cost - 30	 Move - u	 PlayerPos - (4, 1) :: Added to Fringe
[11/10/2016 11:48:07]  Child Node :: Cost - 30	 Move - r	 PlayerPos - (5, 2) :: Redundant
[11/10/2016 11:48:07]  Child Node :: Cost - 30	 Move - d	 PlayerPos - (4, 3) :: Added to Fringe
[11/10/2016 11:48:07]  Child Node :: Cost - 30	 Move - l	 PlayerPos - (3, 2) :: Added to Fringe
[11/10/2016 11:48:07]  Dequeued :: Cost - 30	 Move - d	 PlayerPos - (4, 3) :: Exploring
[11/10/2016 11:48:07]  Child Node :: Cost - 31	 Move - u	 PlayerPos - (4, 2) :: Added to Fringe
[11/10/2016 11:48:07]  Child Node :: Cost - 31	 Move - r	 PlayerPos - (5, 3) :: Added to Fringe
[11/10/2016 11:48:07]  Child Node :: Cost - 31	 Move - d	 PlayerPos - (4, 4) :: Added to Fringe
[11/10/2016 11:48:07]  Dequeued :: Cost - 31	 Move - d	 PlayerPos - (4, 4) :: Exploring
[11/10/2016 11:48:07]  Child Node :: Cost - 32	 Move - u	 PlayerPos - (4, 3) :: Added to Fringe
[11/10/2016 11:48:07]  Child Node :: Cost - 32	 Move - r	 PlayerPos - (5, 4) :: Added to Fringe
[11/10/2016 11:48:07]  Child Node :: Cost - 32	 Move - d	 PlayerPos - (4, 5) :: Added to Fringe
[11/10/2016 11:48:07]  Child Node :: Cost - 32	 Move - l	 PlayerPos - (3, 4) :: Added to Fringe
[11/10/2016 11:48:07]  Dequeued :: Cost - 32	 Move - d	 PlayerPos - (4, 5) :: Deadlock
[11/10/2016 11:48:07]  Dequeued :: Cost - 26	 Move - d	 PlayerPos - (4, 5) :: Exploring
